Number,Logvalue,AddedLogvalue
1,0,0
2,0.693147180559945,0.693147180559945
3,1.09861228866811,1.79175946922806
4,1.38629436111989,3.17805383034795
5,1.6094379124341,4.78749174278205
6,1.79175946922806,6.5792512120101
7,1.94591014905531,8.52516136106541
8,2.07944154167984,10.6046029027452
9,2.19722457733622,12.8018274800815
10,2.30258509299405,15.1044125730755
11,2.39789527279837,17.5023078458739
12,2.484906649788,19.9872144956619
13,2.56494935746154,22.5521638531234
14,2.63905732961526,25.1912211827387
15,2.70805020110221,27.8992713838409
16,2.77258872223978,30.6718601060807
17,2.83321334405622,33.5050734501369
18,2.89037175789616,36.3954452080331
19,2.94443897916644,39.3398841871995
20,2.99573227355399,42.3356164607535
21,3.04452243772342,45.3801388984769
22,3.09104245335832,48.4711813518352
23,3.13549421592915,51.6066755677644
24,3.17805383034795,54.7847293981123
25,3.2188758248682,58.0036052229805
26,3.25809653802148,61.261701761002
27,3.29583686600433,64.5575386270063
28,3.3322045101752,67.8897431371815
29,3.36729582998647,71.257038967168
30,3.40119738166216,74.6582363488302
31,3.43398720448515,78.0922235533153
32,3.46573590279973,81.5579594561151
33,3.49650756146648,85.0544670175815
34,3.52636052461616,88.5808275421977
35,3.55534806148941,92.1361756036871
36,3.58351893845611,95.7196945421432
37,3.61091791264422,99.3306124547874
38,3.63758615972639,102.968198614514
39,3.66356164612965,106.631760260643
40,3.68887945411394,110.320639714757
41,3.71357206670431,114.034211781462
42,3.73766961828337,117.771881399745
43,3.76120011569356,121.533081515439
44,3.78418963391826,125.317271149357
45,3.80666248977032,129.123933639127
46,3.8286413964891,132.952575035616
47,3.85014760171006,136.802722637326
48,3.87120101090789,140.673923648234
49,3.89182029811063,144.565743946345
50,3.91202300542815,148.477766951773
51,3.93182563272433,152.409592584497
52,3.95124371858143,156.360836303079
53,3.97029191355212,160.331128216631
54,3.98898404656427,164.320112263195
55,4.00733318523247,168.327445448428
56,4.02535169073515,172.352797139163
57,4.04305126783455,176.395848406997
58,4.06044301054642,180.456291417544
59,4.07753744390572,184.53382886145
60,4.0943445622221,188.628173423672
61,4.11087386417331,192.739047287845
62,4.12713438504509,196.86618167289
63,4.14313472639153,201.009316399282
64,4.15888308335967,205.168199482641
65,4.17438726989564,209.342586752537
66,4.18965474202643,213.532241494563
67,4.20469261939097,217.736934113954
68,4.21950770517611,221.95644181913
69,4.23410650459726,226.190548323728
70,4.24849524204936,230.439043565777
71,4.26267987704132,234.701723442818
72,4.27666611901606,238.978389561834
73,4.29045944114839,243.268849002983
74,4.30406509320417,247.572914096187
75,4.31748811353631,251.890402209723
76,4.33073334028633,256.22113555001
77,4.34380542185368,260.564940971863
78,4.35670882668959,264.921649798553
